    x            roK  
   3.7500000000000004        10.062655067261407     
   6.2500000000000000        10.518968031955824     
   8.7500000000000000        11.420506722578468     
   11.250000000000000        12.738045901941639     
   13.750000000000002        14.361375247795699     
   16.250000000000004        16.131441740451699     
   18.750000000000000        17.887537695436336     
   21.250000000000004        19.503822293889215     
   23.750000000000000        20.905425423031929     
   26.250000000000000        22.066263659324328     
   28.750000000000004        22.996386468780649     
   31.250000000000000        23.726569068592795     
   33.750000000000000        24.294940912523874     
   36.250000000000007        24.737668886066182     
   38.750000000000000        25.084146323264676     
   41.250000000000000        25.356186023536207     
   43.750000000000000        25.569767286361305     
   46.250000000000000        25.737272985336975     
   48.750000000000007        25.868597595944067     
   51.249999999999993        25.970963841004142     
   53.750000000000007        26.048630089276756     
   56.250000000000000        26.103702913309334     
   58.750000000000014        26.137978577676261     
   61.250000000000007        26.154434855150424     
   63.749999999999993        26.157065448992981     
   66.250000000000014        26.149234303269274     
   68.750000000000000        26.132197900682499     
   71.250000000000014        26.105378029893540     
   73.750000000000000        26.068303748602773     
   76.250000000000000        26.022439344473156     
   78.750000000000014        25.971083695127767     
   81.250000000000000        25.917311476594463     
   83.750000000000014        25.861867438424216     
   86.250000000000000        25.803101168570141     
   88.750000000000000        25.739154471356418     
   91.250000000000014        25.670411245259199     
   93.750000000000000        25.599837751648337     
   96.250000000000014        25.530759826402935     
   98.750000000000000        25.464095779492517     
   101.25000000000001        25.397707433346859     
   103.75000000000001        25.328622309610360     
   106.25000000000000        25.256138816008466     
   108.74999999999999        25.182868180473985     
   111.25000000000000        25.112607411768103     
   113.75000000000001        25.046935151723794     
   116.25000000000001        24.983741911153878     
   118.75000000000000        24.919199910331791     
   121.25000000000001        24.851448227913970     
   123.75000000000000        24.782548017141551     
   126.25000000000001        24.716765010108585     
   128.75000000000000        24.656661324137037     
   131.25000000000000        24.600631548212000     
   133.75000000000000        24.544291376539391     
   136.25000000000000        24.484555576316104     
   138.75000000000003        24.422637098818008     
   141.25000000000000        24.363077828529185     
   143.75000000000000        24.309579717451690     
   146.25000000000000        24.261469799011675     
   148.75000000000000        24.214172362064605     
   151.25000000000003        24.163386773942712     
   153.75000000000000        24.109150485660230     
   156.25000000000000        24.055942282939604     
   158.75000000000000        24.008592889370441     
   161.25000000000000        23.967723440522999     
   163.75000000000003        23.929001181728999     
   166.25000000000000        23.887038994725383     
   168.75000000000000        23.840411968314569     
   171.25000000000000        23.793100136734616     
   173.75000000000000        23.750888119890227     
   176.25000000000003        23.715956480603943     
   178.75000000000000        23.684698855225037     
   181.25000000000000        23.650913272880114     
   183.75000000000000        23.611525118994535     
   186.25000000000000        23.569537814471992     
   188.75000000000003        23.531361629599896     
   191.25000000000000        23.500871310023797     
   193.75000000000000        23.475678988201079     
